Snapshot of one example-suite run, rewritten in full by every run of
that suite. It records what THAT run did; it is not a curated baseline.
To gate CI, use the exit status of testing/run_tests.sh.

Suite:      core (this repository alone; extension-dependent trees excluded)
Command:    testing/run_tests.sh le   (or: runTests)
Sibling:    testSuiteStatus.txt — all (core + trees requiring the proprietary le_extensions.pl)
Generated:  2026-09-23 19:31:52 UTC
SWI-Prolog: 10.1.12
Tree:       /work/

Test Summary:
-------------
Files processed: 351
Total tests:     2592
Passed:          2592
Failed:          0
Errors/Timeouts: 0
-------------

Detailed File Summary:
  [NONE] examples/regulatory/medicare/facial_prostheses.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/facial_prostheses_cases.le: 17 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/glucose_monitors.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/glucose_monitors_cases.le: 30 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/glucose_versions_cases.le: 3 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/heating_pads.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/heating_pads_cases.le: 16 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/hfcwo.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/hfcwo_cases.le: 16 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/hospital_beds.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/hospital_beds_cases.le: 32 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/immunosuppressive_drugs.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/immunosuppressive_drugs_cases.le: 19 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/infrared_heating.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/infrared_heating_cases.le: 13 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/ipv.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/ipv_cases.le: 14 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/ivig.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/ivig_cases.le: 18 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/knee_orthoses.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/knee_orthoses_cases.le: 15 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/lower_limb_prostheses.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/lower_limb_prostheses_cases.le: 14 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/manual_wheelchairs.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/manual_wheelchairs_cases.le: 27 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/mechanical_insufflation.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/mechanical_insufflation_cases.le: 14 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/nebulizers.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/nebulizers_cases.le: 31 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/npwt.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/npwt_cases.le: 26 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/oral_anticancer.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/oral_anticancer_cases.le: 19 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/oral_antiemetic.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/oral_antiemetic_cases.le: 16 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/oral_appliances.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/oral_appliances_cases.le: 14 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/orthopedic_footwear.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/orthopedic_footwear_cases.le: 15 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/osteogenesis_stimulators.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/osteogenesis_stimulators_cases.le: 14 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/ostomy_supplies.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/ostomy_supplies_cases.le: 19 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/oxygen.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/oxygen_cases.le: 20 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/pap.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/pap_cases.le: 20 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/parenteral_nutrition.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/parenteral_nutrition_cases.le: 17 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/patient_lifts.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/patient_lifts_cases.le: 16 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/pmd.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/pmd_cases.le: 16 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/rad.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/rad_cases.le: 24 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/refractive_lenses.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/refractive_lenses_cases.le: 13 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/seat_lifts.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/seat_lifts_cases.le: 22 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/speech_generating_devices.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/speech_generating_devices_cases.le: 13 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/spinal_orthoses.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/spinal_orthoses_cases.le: 16 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/suction_pumps.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/suction_pumps_cases.le: 17 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/support_surfaces.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/support_surfaces_cases.le: 29 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/surgical_dressings.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/surgical_dressings_cases.le: 18 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/tejsd.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/tejsd_cases.le: 16 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/tens.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/tens_cases.le: 15 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/therapeutic_shoes.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/therapeutic_shoes_cases.le: 27 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/tracheostomy_supplies.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/tracheostomy_supplies_cases.le: 17 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/tremor_stimulator.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/tremor_stimulator_cases.le: 15 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/tumor_treatment_field.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/tumor_treatment_field_cases.le: 14 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/urological_supplies.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/urological_supplies_cases.le: 18 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/vacuum_erection.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/vacuum_erection_cases.le: 16 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/vitamin_d.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/vitamin_d_cases.le: 32 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/walkers.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/walkers_cases.le: 22 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/wheelchair_options.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/wheelchair_options_cases.le: 24 Pass, 0 Fail, 0 Error
  [NONE] examples/regulatory/medicare/wheelchair_seating.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/regulatory/medicare/wheelchair_seating_cases.le: 30 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex8_defeasible/deontic.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/legalruleml/ex8_defeasible/ex8_defeasible.le: 4 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex5_section29new/deontic.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/legalruleml/ex5_section29new/ex5_section29new.le: 24 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex2_references/deontic.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex2_references/ex2_references.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex8c_defeasible/deontic.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/legalruleml/ex8c_defeasible/ex8c_defeasible.le: 2 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex9_alternatives/deontic.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex9_alternatives/ex9_alternatives.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex10_mix/deontic.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex10_mix/ex10_mix.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex9b_alternatives/deontic.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/legalruleml/ex9b_alternatives/ex9b_alternatives.le: 8 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex11_maternity_alternatives/deontic.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex11_maternity_alternatives/ex11_maternity_alternatives.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex12_usc_17_504_context/deontic.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/legalruleml/ex12_usc_17_504_context/ex12_usc_17_504_context.le: 20 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex8b_defeasible/deontic.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/legalruleml/ex8b_defeasible/ex8b_defeasible.le: 2 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex1_curies/deontic.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex1_curies/ex1_curies.le: 0 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/legalruleml/ex3_deontic/deontic.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/legalruleml/ex3_deontic/ex3_deontic.le: 8 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/blawx/beard_tax/beard_tax.le: 13 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/blawx/covid_test/covid_test.le: 3 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/blawx/rps/rps.le: 11 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/blawx/logical_constraints/logical_constraints.le: 1 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/blawx/list_demo/list_demo.le: 0 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/blawx/net30/net30.le: 1 Pass, 0 Fail, 0 Error
  [PASS] examples/migration/blawx/wills/wills.le: 10 Pass, 0 Fail, 0 Error
  [NONE] examples/migration/blawx/wills_tutorial/wills_tutorial.le: 0 Pass, 0 Fail, 0 Error
