"code","group","article","description"
"C82.94","1","A57736","Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb"
"C82.95","1","A57736","Follicular lymphoma, unspecified, lymph nodes of inguinal region and lower limb"
"C82.96","1","A57736","Follicular lymphoma, unspecified, intrapelvic lymph nodes"
"C82.97","1","A57736","Follicular lymphoma, unspecified, spleen"
"C82.98","1","A57736","Follicular lymphoma, unspecified, lymph nodes of multiple sites"
"C82.99","1","A57736","Follicular lymphoma, unspecified, extranodal and solid organ sites"
"D80.0","1","A57736","Hereditary hypogammaglobulinemia"
"D80.1","1","A57736","Nonfamilial hypogammaglobulinemia"
"D80.2","1","A57736","Selective deficiency of immunoglobulin A (IgA)"
"D80.3","1","A57736","Selective deficiency of immunoglobulin G (IgG) subclasses"
"D80.4","1","A57736","Selective deficiency of immunoglobulin M (IgM)"
"D80.5","1","A57736","Immunodeficiency with increased immunoglobulin M (IgM)"
"D80.6","1","A57736","Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia"
"D80.7","1","A57736","Transient hypogammaglobulinemia of infancy"
"D80.8","1","A57736","Other immunodeficiencies with predominantly antibody defects"
"D80.9","1","A57736","Immunodeficiency with predominantly antibody defects, unspecified"
"D89.810","1","A57736","Acute graft-versus-host disease"
"D89.811","1","A57736","Chronic graft-versus-host disease"
"D89.812","1","A57736","Acute on chronic graft-versus-host disease"
"D89.813","1","A57736","Graft-versus-host disease, unspecified"
"E20.0","1","A57736","Idiopathic hypoparathyroidism"
"E20.810","1","A57736","Autosomal dominant hypocalcemia"
"E20.811","1","A57736","Secondary hypoparathyroidism in diseases classified elsewhere"
"E20.812","1","A57736","Autoimmune hypoparathyroidism"
"E20.818","1","A57736","Other specified hypoparathyroidism due to impaired parathyroid hormone secretion"
"E20.819","1","A57736","Hypoparathyroidism due to impaired parathyroid hormone secretion, unspecified"
"E20.89","1","A57736","Other specified hypoparathyroidism"
"E20.9","1","A57736","Hypoparathyroidism, unspecified"
"E21.0","1","A57736","Primary hyperparathyroidism"
"E21.1","1","A57736","Secondary hyperparathyroidism, not elsewhere classified"
"E21.2","1","A57736","Other hyperparathyroidism"
"E21.3","1","A57736","Hyperparathyroidism, unspecified"
"E41","1","A57736","Nutritional marasmus"
"E43","1","A57736","Unspecified severe protein-calorie malnutrition"
"E55.0","1","A57736","Rickets, active"
"E55.9","1","A57736","Vitamin D deficiency, unspecified"
"E66.01","1","A57736","Morbid (severe) obesity due to excess calories"
"E66.09","1","A57736","Other obesity due to excess calories"
"E66.1","1","A57736","Drug-induced obesity"
"E66.2","1","A57736","Morbid (severe) obesity with alveolar hypoventilation"
"E66.811","1","A57736","Obesity, class 1"
"E66.812","1","A57736","Obesity, class 2"
"E66.813","1","A57736","Obesity, class 3"
"E66.89","1","A57736","Other obesity not elsewhere classified"
"E67.3","1","A57736","Hypervitaminosis D"
"E67.8","1","A57736","Other specified hyperalimentation"
"E68","1","A57736","Sequelae of hyperalimentation"
"E83.30","1","A57736","Disorder of phosphorus metabolism, unspecified"
"E83.31","1","A57736","Familial hypophosphatemia"
"E83.32","1","A57736","Hereditary vitamin D-dependent rickets (type 1) (type 2)"
"E83.39","1","A57736","Other disorders of phosphorus metabolism"
"E83.50","1","A57736","Unspecified disorder of calcium metabolism"
"E83.51","1","A57736","Hypocalcemia"
"E83.52","1","A57736","Hypercalcemia"
"E84.0","1","A57736","Cystic fibrosis with pulmonary manifestations"
"E84.11","1","A57736","Meconium ileus in cystic fibrosis"
"E84.19","1","A57736","Cystic fibrosis with other intestinal manifestations"
"E84.8","1","A57736","Cystic fibrosis with other manifestations"
"E84.9","1","A57736","Cystic fibrosis, unspecified"
"E89.2","1","A57736","Postprocedural hypoparathyroidism"
"E89.820","1","A57736","Postprocedural hematoma of an endocrine system organ or structure following an endocrine system procedure"
"E89.821","1","A57736","Postprocedural hematoma of an endocrine system organ or structure following other procedure"
"E89.822","1","A57736","Postprocedural seroma of an endocrine system organ or structure following an endocrine system procedure"
"E89.823","1","A57736","Postprocedural seroma of an endocrine system organ or structure following other procedure"
"J63.2","1","A57736","Berylliosis"
